date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:47	212718/212718	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:09:47%20GMT	https://oldschool.runescape.com/slu?order=lMAPw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slubdf6-2.html	(from https://oldschool.runescape.com/slu?order=MAPwL)
21:09:48	212718/212718	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:09:47%20GMT	https://oldschool.runescape.com/slu?order=LMAPw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu1fe5.html	(from https://oldschool.runescape.com/slu?order=MAPwL)
21:09:48	212718/212718	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:09:48%20GMT	https://oldschool.runescape.com/slu?order=amplw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu7abe.html	(from https://oldschool.runescape.com/slu?order=mplwA)
21:09:49	212718/212718	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:09:48%20GMT	https://oldschool.runescape.com/slu?order=Amplw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slucf24.html	(from https://oldschool.runescape.com/slu?order=mplwA)
21:09:49	212718/212718	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:09:49%20GMT	https://oldschool.runescape.com/slu?order=aMplw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu7f3f.html	(from https://oldschool.runescape.com/slu?order=MplwA)
21:09:50	212718/212718	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:09:50%20GMT	https://oldschool.runescape.com/slu?order=AMplw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu0b95.html	(from https://oldschool.runescape.com/slu?order=MplwA)
21:09:51	212718/212718	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:09:50%20GMT	https://oldschool.runescape.com/slu?order=maplw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu96fb.html	(from https://oldschool.runescape.com/slu?order=aplwM)
21:09:51	212718/212718	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:09:51%20GMT	https://oldschool.runescape.com/slu?order=Maplw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu8d96.html	(from https://oldschool.runescape.com/slu?order=aplwM)
21:09:52	212718/212718	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:09:51%20GMT	https://oldschool.runescape.com/slu?order=mAplw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu3c1c.html	(from https://oldschool.runescape.com/slu?order=AplwM)
21:09:52	212718/212718	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:09:52%20GMT	https://oldschool.runescape.com/slu?order=MAplw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu2783.html	(from https://oldschool.runescape.com/slu?order=AplwM)
21:09:53	212718/212718	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:09:53%20GMT	https://oldschool.runescape.com/slu?order=amPlw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu396c.html	(from https://oldschool.runescape.com/slu?order=mPlwA)
21:09:53	212718/212718	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:09:53%20GMT	https://oldschool.runescape.com/slu?order=AmPlw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slub317.html	(from https://oldschool.runescape.com/slu?order=mPlwA)
21:09:54	212718/212718	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:09:54%20GMT	https://oldschool.runescape.com/slu?order=aMPlw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slued29.html	(from https://oldschool.runescape.com/slu?order=MPlwA)
21:09:54	212718/212718	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:09:54%20GMT	https://oldschool.runescape.com/slu?order=AMPlw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/sluf5ed.html	(from https://oldschool.runescape.com/slu?order=MPlwA)
21:09:55	212718/212718	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:09:55%20GMT	https://oldschool.runescape.com/slu?order=maPlw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/sludd3c.html	(from https://oldschool.runescape.com/slu?order=aPlwM)
21:09:55	212718/212718	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2019:09:55%20GMT	https://oldschool.runescape.com/slu?order=MaPlw	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu0364.html	(from https://oldschool.runescape.com/slu?order=aPlwM)
